"ID","task","dishwasher_choice_1","dishwasher_choice_2","dishwasher_choice_3","dishwasher_choice_4","dishwasher_choice_5","dishwasher_choice_6","dishwasher_choice_7","dishwasher_choice_8","dishwasher_choice_9","dishwasher_choice_10","dishwasher_choice_11","dishwasher_choice_12","dishwasher_choice_13","dishwasher_choice_14","speaker_choice_1","speaker_choice_2","speaker_choice_3","speaker_choice_4","speaker_choice_5","speaker_choice_6","speaker_choice_7","speaker_choice_8","speaker_choice_9","speaker_choice_10","speaker_choice_11","speaker_choice_12","speaker_choice_13","speaker_choice_14","induction_choice_1","induction_choice_2","induction_choice_3","induction_choice_4","induction_choice_5","induction_choice_6","induction_choice_7","induction_choice_8","induction_choice_9","induction_choice_10","induction_choice_11","induction_choice_12","induction_choice_13","induction_choice_14","social_dist_rating._1","social_dist_rating._2","social_dist_rating._3","social_dist_rating._4","social_dist_rating._5","social_dist_rating._6","social_dist_rating._7","social_dist_rating._8","social_dist_rating._9","social_dist_rating._10","social_dist_rating._11","social_dist_rating._12","social_dist_rating._13","social_dist_rating._14","attention_check","attention_check_filter","why","age","country_of_birth","country_of_residence","employment","first_language","sex","student"
"R_3s5HLpm9vuk01Jy","dishwasher","P","P","P","P","P","P","P","P","P","P","P","P","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,7,3,2,6,1,2,1,2,3,5,6,2,"A dishwasher",1,"Personally after reading the instructions, I found the picture instructions easier to understand. That then made me what to make everyone which was staying at my home to have an easy time using the appliances. 
",23,"United Kingdom","United Kingdom","DATA EXPIRED","English","Female","DATA EXPIRED"
"R_3I3H6bymM7D8v6w","speaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","P","P","P","P","P","P","P","P","P","P","P","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6,2,2,4,2,4,1,1,4,6,4,2,"A bluetooth speaker",1,"I think pictures are the way forward for anyone",32,"United Kingdom","United Kingdom","Full-Time","English","Female","No"
"R_276ZpEjManmY04n","dishwasher","P","P","P","P","P","P","P","P","P","P","P","P","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,1,3,6,1,2,1,3,4,6,7,1,"A dishwasher",1,"I chose the instructions I though were quickest and easiest to follow",28,"United Kingdom","United Kingdom","Full-Time","English","Male","No"
"R_Z2KyRlXkcyDxTmp","cooktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","T","T","P","P","P","P","P","P","T","T","T","T","P",3,4,4,5,5,3,6,4,5,3,3,2,2,7,"An induction cooktop",1,"I decided based on how i know the person .",NA,NA,NA,NA,NA,NA,NA
"R_1ieSFKqZpef2fQE","dishwasher","T","T","T","T","T","T","T","T","T","T","T","T","T","T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,1,3,1,1,1,2,5,4,2,1,"A dishwasher",1,"I thought what I would most likely do in the circumstance, not who they were. I know I would be more likely to leave written instructions in any case, hence my choice, even though the pictures are clearer for pretty much everyone!",50,"United Kingdom","United Kingdom","Other","English","Female","No"
"R_2yrAbqSWWajEp5z","speaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","P","T","T","T","P","T","T","T","T","T","T","T","T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,4,4,6,1,3,1,4,5,5,4,1,"A bluetooth speaker",1,"I used the closeness of the relationship with the person to gauge which instructions I would leave for them. I.e if I knew them I would leave the text instructions.",41,"United Kingdom","United Kingdom","DATA EXPIRED","English","Female","DATA EXPIRED"
"R_2afQEwwoLjZMmG3","dishwasher","P","P","P","P","P","P","P","P","P","P","P","P","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,2,7,1,3,1,3,5,6,3,2,"A dishwasher",1,"I thought that, in every case, the picture instructions were the best option. Regardless of the closeness of the person, the picture instructions provided a more clear, obvious interpretation of the use of the machine. I would have selected text instructions only if the functioning of the device was more complicated.",30,"United Kingdom","United Kingdom","DATA EXPIRED","English","Male","DATA EXPIRED"
"R_0SXGrPBC9By1cHv","cooktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T","T","T","T","T","T","T","T","T","T","T","T","T",6,6,5,4,4,7,1,1,1,3,7,6,5,1,"An induction cooktop",1,"I found the text to be more helpful than the pictures so I assigned the text version to every person. I thought the text was more specific than the pictures and I assumed everyone would be able to understand them.",43,"United States","United States","DATA EXPIRED","English","Female","DATA EXPIRED"
"R_2VpBoQlOEf9ypb5","cooktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","P","P","P","T","P","T","T","T","T","P","P","P","T",5,4,3,3,2,6,1,2,1,2,4,6,4,2,"An induction cooktop",1,"If not much was known about the person I chose pictures as they are easier to understand due to language and reading confidence. If the person was closer I chose text as I would know they can understand the instructions and in the worst case would be close enough to me to contact me if they could not understand",20,"United Kingdom","United Kingdom","Part-Time","English","Male","Yes"
"R_BM7MNgcLvLlLaNP","dishwasher","P","P","P","P","P","P","P","P","P","P","P","P","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,4,3,4,5,2,3,2,2,6,5,3,2,"A dishwasher",1,"I thought the picture instructions were far clearer and faster to understand",21,"Philippines","United Kingdom","Unemployed (and job seeking)","English","Male","Yes"
"R_32Ve7MfExAsR6PL","dishwasher","P","P","P","T","T","T","P","P","T","P","T","T","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,5,7,3,7,1,3,1,5,4,7,6,2,"A dishwasher",1,"as to how well i knew them.",39,"United Kingdom","United Kingdom","Part-Time","English","Female","No"
"R_2f7hy2ys6EbB0h9","cooktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T","P","T","T","P","T","T","T","T","P","P","P","T",5,5,4,4,1,6,2,5,2,2,5,5,4,2,"An induction cooktop",1,"I would give a text instruction to people that I'm close to, cause they can easily call me should they have issues.  Those that are not close to me may feel shy to ask, so I'll give them clear instructions.",40,"Zimbabwe","South Africa","Full-Time","English","Female","No"
"R_1Cx8I89gxgwt5r7","cooktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T","T","T","T","T","T","T","T","T","T","T","T","T",7,6,6,4,7,7,2,5,3,5,7,7,4,4,"An induction cooktop",1,"I would myself rather receive detailed text rather than pictures that could be ambiguous, so chose that for everyone.",36,"United Kingdom","United Kingdom","Full-Time","English","Male","No"
"R_1GNcHONNA8HgJdV","dishwasher","T","P","P","P","T","P","T","T","T","T","P","P","T","T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,4,3,4,1,2,1,3,4,4,3,2,"A dishwasher",1,"I thought that having a pictorial diagram would be more useful if I didn't know what the person's abilities were, therefore, chose text when it was someone I had a closer relationship with.",31,"United Kingdom","United Kingdom","Full-Time","English","Female","Yes"
"R_OHa8FtJQRD1JEnT","cooktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","P","P","T","T","P","T","T","T","P","P","P","T","T",7,7,6,7,5,7,3,4,3,7,7,7,6,4,"An induction cooktop",1,"I decided that I would give the text instructions to people I'm close to or know well enough and the picture instructions for people who are not that close to me.",23,"South Africa","South Africa","Full-Time","English","Male","Yes"
"R_5tZqbyM2EFFoUbT","speaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","P","P","P","P","P","P","P","P","P","P","P","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,3,3,1,6,1,2,1,2,6,6,3,1,"A bluetooth speaker",1,"I chose to give everyone the picture instructions, as I felt that they were easier to follow as it was completely clear which buttons should be pressed in order to gain connectivity.",33,"United Kingdom","United Kingdom","Full-Time","English","Female","No"
"R_1JXi65BIllZ4r13","dishwasher","T","T","T","T","T","T","T","T","T","T","T","T","T","T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,3,2,6,2,3,1,3,4,5,4,2,"A dishwasher",1,"Unless there were language barriers I would always choose the text version as the images version seems to me to suggest a lower IQ.  (In reality I would actually use both images and text together as the most comprehensive explanation)",53,"United Kingdom","United Kingdom","Part-Time","English","Female","No"
"R_3fHjr9JQsnpzkAQ","speaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","P","P","T","T","P","T","T","P","T","P","P","T","T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,7,3,2,6,2,5,1,4,4,7,5,2,"A bluetooth speaker",1,"I tried to decide which people I thought would best understand the written text instructions & who I thought would find it easier to understand the pictures.",61,"Italy","United Kingdom","Unemployed (and job seeking)","English","Female","No"
"R_D2ildpFyoaAMJGh","cooktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","P","P","P","P","P","P","T","T","P","P","P","P","P",6,6,5,5,5,7,2,4,1,4,6,6,4,2,"An induction cooktop",1,"Depending on how well the person is assumed to be able to interpret text more easily that pictures. If they are not used to my way of talking then pictures are more appropriate and avoid confusion.",27,"United Kingdom","United Kingdom","Full-Time","English","Female","No"
"R_qCks1ATeW888dz3","speaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","P","P","T","T","P","T","T","T","T","P","P","T","T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,4,6,7,2,3,1,4,6,7,4,1,"A bluetooth speaker",1,"The closer the people are to me, the more likely they are to get the text because it is less belittling.",19,"South Africa","South Africa","Other","English","Female","Yes"
"R_1C1qWFq43StVyA0","speaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T","P","T","T","P","T","T","T","T","T","P","T","T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,5,5,4,7,1,3,1,4,5,7,4,2,"A bluetooth speaker",1,"I judged them based on how I met them as to how intelligent i perceived them to be. Those who I thought lacked certain intelligence and/or fluency in English I decided to provide them iwth the picture instructions rather than the written ones.",24,"Canada","Canada","Full-Time","English","Female","No"
"R_d4sjGiO9DHpAeRj","cooktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T","T","P","P","T","P","P","P","P","T","T","P","P",7,6,5,5,4,7,1,2,1,4,6,6,5,2,"An induction cooktop",1,"I found it hard to work out on what basis to give each person which set of instructions. But i decided that people who i would consider closer to would receive picture instructions as these would probably require more effort to provide.",21,"United Kingdom","United Kingdom","Unemployed (and job seeking)","English","Female","No"
"R_2diRonsy5CySTKd","cooktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","T","P","T","T","T","T","P","P","T","T","P","T","P",7,6,6,6,4,6,2,4,1,2,2,6,5,3,"An induction cooktop",1,"I kind of guessed how they might understand the directions depending on there work environment /level of comprehension",NA,NA,NA,NA,NA,NA,NA
"R_vGlY6hEHKeJxgpr","cooktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","P","P","P","P","P","P","P","P","P","P","P","P","P",5,6,5,4,3,7,1,3,2,3,5,7,6,2,"An induction cooktop",1,"I did not perceive a difference in each person, with regards to choosing whether pictures or written instructions were more suitable to each person.  The picture were more quick and straight forward to understand, that would be understandable and perceived well by all.",33,"United Kingdom","United Kingdom","Part-Time","English","Female","No"
"R_cPeeoBpHo5baggh","speaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","P","T","P","P","P","P","P","P","P","P","T","T","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,1,2,4,1,2,2,3,4,4,3,1,"A bluetooth speaker",1,"The picture is more personal and shows more effort in helping someone who is important to you succeed.",26,"Canada","Canada","Full-Time","English","Female","No"
"R_3PETZt7bWcyvoRU","speaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T","T","T","P","T","P","P","P","P","T","T","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,5,7,2,6,1,3,1,3,6,6,4,1,"A bluetooth speaker",1,"I preferred to give those who are closer to me and who may have easier access to me picture instructions because if they do not understand, they would not find it harder to reach out to me.

I also prefer that those who aren't close to me exhaust all their resources before reaching out to me (which is what I would do if I were in their shoes), and text instructions are the best fit for those who don't know me too well because they're often straightforward.",26,"South Africa","South Africa","Part-Time","English","Female","DATA EXPIRED"
"R_1Q5f7UIUi0JN9BY","dishwasher","P","P","P","P","P","P","P","P","P","P","P","P","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,1,1,1,7,1,1,1,1,1,7,1,1,"A dishwasher",1,"PICTURE is clear and simple, everyone gets a picture coz it is easy",37,"Ireland","Ireland","DATA EXPIRED","English","Female","DATA EXPIRED"
"R_3psC4vjhTmQdhRM","cooktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","P","P","P","T","P","P","P","P","P","P","P","P","P",7,5,4,5,4,5,1,3,1,5,6,6,4,1,"An induction cooktop",1,"Intelligence could be a factor, pictures are usually easier to understand that text instructions",52,"United Kingdom","United Kingdom","Part-Time","English","Male","No"
"R_1DYEE6Pq8HZv9Ik","dishwasher","P","T","P","P","T","T","T","T","P","P","T","P","T","T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,5,3,6,2,4,2,4,4,5,4,2,"A dishwasher",1,"I decided giving the instruction based on their aptitude. for example if i gave my grandma who is 80 years old an instruction based on text it would confused the hell out of her because i doubt she knows half of the modern/technological vocabularies that the text instruction would contain, and because of that i would give her an instruction with picture.",27,"Philippines","Spain","Part-Time","English","Male","No"
"R_3jdhW21apVy2T9T","dishwasher","P","P","P","P","P","T","P","T","T","T","T","T","T","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,5,1,3,4,1,3,3,4,7,5,3,1,"A dishwasher",1,"PEOPLE THAT ARE CLOSE MIGHT HAVE SEEN IT WOULD SELECT PICTURE , DISTANCE PEOPLE WOULD SELECT TEXT WHICH GIVES MORE INFORMATION",37,"Zimbabwe","South Africa","Full-Time","English","Male","Yes"
"R_3kzvzCfbKHO5O5c","dishwasher","P","P","P","P","P","P","P","P","P","P","P","P","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,5,3,5,7,2,6,1,4,7,7,6,3,"A dishwasher",1,"I chose the pictures because different people have different reading levels and confidence levels with technology. For example, my dad is dyslexic, so the pictures would be easier for him to understand. My mum is scared if things are too complicated, so the pictures are simpler. The pictures could be understood by everyone, so I stuck with those instructions.",32,"United Kingdom","United Kingdom","Full-Time","English","DATA EXPIRED","No"
"R_QoyzMAzDCZuVOWB","cooktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","P","P","P","P","P","P","P","P","P","P","P","P","P",6,6,6,5,3,6,2,3,1,7,5,4,5,2,"An induction cooktop",1,"I thought the picture images were most helpful so I gave the pictures to everyone.",40,"United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","English","Female","Yes"
"R_2dVZ8DY8MXnz7kp","dishwasher","P","P","P","P","P","P","P","P","P","P","P","P","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,4,1,4,1,3,1,2,2,3,3,2,"A dishwasher",1,"I think that picture instructions require less time to read and are more eye pleasing to everyone.",20,"Poland","Poland","Unemployed (and job seeking)","English","Male","Yes"
"R_2dFNknqppM3GgTm","speaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","T","P","P","P","T","P","T","T","P","P","P","T","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,6,1,7,1,4,1,5,7,7,6,1,"A bluetooth speaker",1,"I choose the image for people I thought of as either needing more visual instructions like my cousin who follows things best that way. People who seemed more academic university friend, work friend etc.. text.",32,"United Kingdom","United Kingdom","Part-Time","English","Female","No"
